"","CD_U2A","LB_U2A","CD_STR","CD_DEPT","LB_DEPT","CD_REGION","LB_REGION","VILLE","DEPT","coord.lat","coord.lng"
"102","U0705","Samu social de Vals les Bains",195,7,"DD DE L ARDECHE","82","RHONE-ALPES","Vals%20les%20Bains","Ard%C3%A8che",44.66515,4.36487
"103","U0706","Centre de distribution de Le Pouzin",3839,7,"DD DE L ARDECHE","82","RHONE-ALPES","Le%20Pouzin","Ard%C3%A8che",44.755566,4.748558
"104","U0707","FERMER - CD de Le Teil",3936,7,"DD DE L ARDECHE","82","RHONE-ALPES","Le%20Teil","Ard%C3%A8che",44.55061,4.683794
"105","U0708","Centre distribution de Tournon sur Rhone",193,7,"DD DE L ARDECHE","82","RHONE-ALPES","Tournon%20sur%20Rhone","Ard%C3%A8che",45.067915,4.832137
"106","U0709","Samu sociale de Tournon sur Rhone",193,7,"DD DE L ARDECHE","82","RHONE-ALPES","Tournon%20sur%20Rhone","Ard%C3%A8che",45.067915,4.832137
"107","U0710","A DEFINIR (CAP)",11,7,"DD DE L ARDECHE","82","RHONE-ALPES","NON RENSEIGNE","Ard%C3%A8che",NA,NA
"108","U0711","Espace bebe maman Le Teil",3936,7,"DD DE L ARDECHE","82","RHONE-ALPES","Le%20Teil","Ard%C3%A8che",44.55061,4.683794
"109","U0801","Centre distribution Charleville-Meziers",197,8,"DD DES ARDENNES","21","CHAMPAGNE-ARDENNE","Charleville-Meziers","Ardennes",49.762085,4.726096
"110","U0802","Samu social Charleville-Meziers",197,8,"DD DES ARDENNES","21","CHAMPAGNE-ARDENNE","Charleville-Meziers","Ardennes",49.762085,4.726096
"111","U0803","Centre distribution de Vouziers",202,8,"DD DES ARDENNES","21","CHAMPAGNE-ARDENNE","Vouziers","Ardennes",49.398265,4.700375
"112","U0804","Centre distribution de Rethel",198,8,"DD DES ARDENNES","21","CHAMPAGNE-ARDENNE","Rethel","Ardennes",49.5084965,4.3662756
"113","U09","DD de l'Ariege",13,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Ariege","Ari%C3%A8ge",42.9620132,1.6122866
"114","U0901","Samu social de Foix",203,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Foix","Ari%C3%A8ge",42.964127,1.605232
"115","U0902","Centre de distribution Laroque-d'Olmes",204,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Laroque-d%27Olmes","Ari%C3%A8ge",42.96904,1.871428
"116","U0903","Centre de distribution de Foix",203,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Foix","Ari%C3%A8ge",42.964127,1.605232
"117","U0904","Centre de distribution Lavelanet",205,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Lavelanet","Ari%C3%A8ge",42.937653,1.851472
"118","U0905","Centre de distribution de Pamiers",207,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Pamiers","Ari%C3%A8ge",43.114753,1.607953
"119","U0906","Centre distribution Tarascon-sur-Ariege",209,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Tarascon-sur-Ariege","Ari%C3%A8ge",42.848524,1.604815
"120","U0907","Centre de distribution Saint-Girons",208,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Saint-Girons","Ari%C3%A8ge",42.982876,1.146088
"121","U0908","Centre de distribution du Fossat",206,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Fossat","Ari%C3%A8ge",43.173805,1.407146
"122","U0909","Centre de distribution Ax-les-Thermes",209,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Ax-les-Thermes","Ari%C3%A8ge",42.720254,1.837545
"123","U0910","Centre de distribution Le Mas d'Azil",206,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","Le%20Mas%20d%27Azil","Ari%C3%A8ge",43.0793899,1.36147
"124","U0911","Epicerie Sociale itinerante La Roque d'O",204,9,"DD DE L ARIEGE","73","MIDI-PYRENEES","itinerante%20La%20Roque%20d%27O","Ari%C3%A8ge",42.9326292,1.443469
"125","U1001","Centre de distribution de Bar-sur-Seine",212,10,"DD DE L AUBE","21","CHAMPAGNE-ARDENNE","Bar-sur-Seine","Aube",48.114154,4.373386
"126","U1002","Centre de distribution Nogent/Seine",213,10,"DD DE L AUBE","21","CHAMPAGNE-ARDENNE","Nogent%2FSeine","Aube",48.492624,3.498165
"127","U1003","A DEFINIR (ES)",215,10,"DD DE L AUBE","21","CHAMPAGNE-ARDENNE","NON RENSEIGNE","Aube",NA,NA
"128","U1004","FERME de d'Arcis-sur-Aube",3962,10,"DD DE L AUBE","21","CHAMPAGNE-ARDENNE","Arcis-sur-Aube","Aube",48.537751,4.143492
"129","U1005","Centre distribution de Troyes",215,10,"DD DE L AUBE","21","CHAMPAGNE-ARDENNE","Troyes","Aube",48.2973451,4.0744009
"130","U1006","Centre de distribution d'Auxon",2123,10,"DD DE L AUBE","21","CHAMPAGNE-ARDENNE","Auxon","Aube",48.103362,3.918793
"131","U1007","A DEFINIR (ES)",212,10,"DD DE L AUBE","21","CHAMPAGNE-ARDENNE","NON RENSEIGNE","Aube",NA,NA
